"SE","casos","APS"
201026,2,"AP3.1"
201026,7,"AP3.2"
201026,9,"AP3.3"
201026,5,"AP4"
201026,7,"AP5.1"
201026,5,"AP5.2"
201026,2,"AP5.3"
201027,3,"AP1"
201027,10,"AP2.1"
201027,2,"AP2.2"
201027,4,"AP3.1"
201027,6,"AP3.2"
201027,13,"AP3.3"
201027,8,"AP4"
201027,9,"AP5.1"
201027,8,"AP5.2"
201027,1,"AP5.3"
201028,2,"AP1"
201028,9,"AP2.1"
201028,1,"AP2.2"
201028,5,"AP3.1"
201028,3,"AP3.2"
201028,9,"AP3.3"
201028,7,"AP4"
201028,9,"AP5.1"
201028,5,"AP5.2"
201028,4,"AP5.3"
201029,4,"AP1"
201029,13,"AP2.1"
201029,2,"AP2.2"
201029,3,"AP3.1"
201029,4,"AP3.2"
201029,4,"AP3.3"
201029,9,"AP4"
201029,5,"AP5.1"
201029,4,"AP5.2"
201029,1,"AP5.3"
201030,4,"AP1"
201030,17,"AP2.1"
201030,1,"AP2.2"
201030,7,"AP3.1"
201030,11,"AP3.2"
201030,12,"AP3.3"
201030,6,"AP4"
201030,12,"AP5.1"
201030,16,"AP5.2"
201030,2,"AP5.3"
201031,5,"AP1"
201031,12,"AP2.1"
201031,8,"AP2.2"
201031,5,"AP3.1"
201031,9,"AP3.2"
201031,6,"AP3.3"
201031,12,"AP4"
201031,13,"AP5.1"
201031,12,"AP5.2"
201031,2,"AP5.3"
201032,4,"AP1"
201032,15,"AP2.1"
201032,2,"AP2.2"
201032,4,"AP3.1"
201032,6,"AP3.2"
201032,11,"AP3.3"
201032,7,"AP4"
201032,12,"AP5.1"
201032,12,"AP5.2"
201032,0,"AP5.3"
201033,3,"AP1"
201033,6,"AP2.1"
201033,2,"AP2.2"
201033,6,"AP3.1"
201033,3,"AP3.2"
201033,4,"AP3.3"
201033,8,"AP4"
201033,3,"AP5.1"
201033,14,"AP5.2"
201033,0,"AP5.3"
201034,1,"AP1"
201034,9,"AP2.1"
201034,4,"AP2.2"
201034,2,"AP3.1"
201034,8,"AP3.2"
201034,11,"AP3.3"
201034,9,"AP4"
201034,3,"AP5.1"
201034,6,"AP5.2"
201034,0,"AP5.3"
201035,2,"AP1"
201035,14,"AP2.1"
201035,3,"AP2.2"
201035,3,"AP3.1"
201035,1,"AP3.2"
201035,1,"AP3.3"
201035,2,"AP4"
201035,2,"AP5.1"
201035,6,"AP5.2"
201035,1,"AP5.3"
201036,4,"AP1"
201036,5,"AP2.1"
201036,3,"AP2.2"
201036,2,"AP3.1"
201036,5,"AP3.2"
201036,3,"AP3.3"
201036,4,"AP4"
201036,3,"AP5.1"
201036,4,"AP5.2"
201036,2,"AP5.3"
201037,2,"AP1"
201037,1,"AP2.1"
201037,4,"AP2.2"
201037,6,"AP3.1"
201037,5,"AP3.2"
201037,1,"AP3.3"
201037,10,"AP4"
201037,6,"AP5.1"
201037,7,"AP5.2"
201037,3,"AP5.3"
201038,2,"AP1"
201038,6,"AP2.1"
201038,2,"AP2.2"
201038,1,"AP3.1"
201038,9,"AP3.2"
201038,1,"AP3.3"
201038,4,"AP4"
201038,4,"AP5.1"
201038,2,"AP5.2"
201038,0,"AP5.3"
201039,0,"AP1"
201039,4,"AP2.1"
201039,5,"AP2.2"
201039,3,"AP3.1"
201039,2,"AP3.2"
201039,3,"AP3.3"
201039,4,"AP4"
201039,2,"AP5.1"
201039,2,"AP5.2"
201039,1,"AP5.3"
201040,2,"AP1"
201040,2,"AP2.1"
201040,3,"AP2.2"
201040,1,"AP3.1"
201040,2,"AP3.2"
201040,5,"AP3.3"
201040,2,"AP4"
201040,2,"AP5.1"
201040,8,"AP5.2"
201040,0,"AP5.3"
201041,3,"AP1"
201041,1,"AP2.1"
201041,2,"AP2.2"
201041,5,"AP3.1"
201041,5,"AP3.2"
201041,3,"AP3.3"
201041,4,"AP4"
201041,2,"AP5.1"
201041,2,"AP5.2"
201041,2,"AP5.3"
201042,1,"AP1"
201042,9,"AP2.1"
201042,3,"AP2.2"
201042,2,"AP3.1"
201042,2,"AP3.2"
201042,6,"AP3.3"
201042,3,"AP4"
201042,2,"AP5.1"
201042,0,"AP5.2"
201042,0,"AP5.3"
201043,6,"AP1"
201043,10,"AP2.1"
201043,3,"AP2.2"
201043,0,"AP3.1"
201043,2,"AP3.2"
201043,4,"AP3.3"
201043,6,"AP4"
201043,0,"AP5.1"
201043,2,"AP5.2"
201043,1,"AP5.3"
201044,2,"AP1"
201044,11,"AP2.1"
201044,3,"AP2.2"
201044,2,"AP3.1"
201044,2,"AP3.2"
201044,4,"AP3.3"
201044,11,"AP4"
201044,2,"AP5.1"
201044,4,"AP5.2"
201044,3,"AP5.3"
201045,1,"AP1"
201045,11,"AP2.1"
201045,5,"AP2.2"
201045,3,"AP3.1"
201045,1,"AP3.2"
201045,13,"AP3.3"
201045,9,"AP4"
201045,3,"AP5.1"
201045,1,"AP5.2"
201045,3,"AP5.3"
201046,4,"AP1"
201046,11,"AP2.1"
201046,3,"AP2.2"
201046,3,"AP3.1"
201046,6,"AP3.2"
201046,6,"AP3.3"
201046,8,"AP4"
201046,1,"AP5.1"
201046,7,"AP5.2"
201046,5,"AP5.3"
201047,5,"AP1"
201047,14,"AP2.1"
201047,7,"AP2.2"
201047,4,"AP3.1"
201047,6,"AP3.2"
201047,13,"AP3.3"
201047,6,"AP4"
201047,4,"AP5.1"
201047,10,"AP5.2"
201047,6,"AP5.3"
201048,6,"AP1"
201048,24,"AP2.1"
201048,3,"AP2.2"
201048,7,"AP3.1"
201048,8,"AP3.2"
201048,23,"AP3.3"
201048,14,"AP4"
201048,7,"AP5.1"
201048,3,"AP5.2"
201048,7,"AP5.3"
201049,6,"AP1"
201049,23,"AP2.1"
201049,4,"AP2.2"
201049,11,"AP3.1"
201049,10,"AP3.2"
201049,21,"AP3.3"
201049,6,"AP4"
201049,7,"AP5.1"
201049,14,"AP5.2"
201049,10,"AP5.3"
201050,10,"AP1"
201050,25,"AP2.1"
201050,7,"AP2.2"
201050,13,"AP3.1"
201050,19,"AP3.2"
201050,27,"AP3.3"
201050,12,"AP4"
201050,7,"AP5.1"
201050,10,"AP5.2"
201050,13,"AP5.3"
201051,4,"AP1"
201051,20,"AP2.1"
201051,8,"AP2.2"
201051,6,"AP3.1"
201051,6,"AP3.2"
201051,28,"AP3.3"
201051,20,"AP4"
201051,6,"AP5.1"
201051,12,"AP5.2"
201051,10,"AP5.3"
201052,8,"AP1"
201052,28,"AP2.1"
201052,6,"AP2.2"
201052,6,"AP3.1"
201052,6,"AP3.2"
201052,29,"AP3.3"
201052,15,"AP4"
201052,12,"AP5.1"
201052,19,"AP5.2"
201052,10,"AP5.3"
201101,17,"AP1"
201101,17,"AP2.1"
201101,14,"AP2.2"
201101,13,"AP3.1"
201101,12,"AP3.2"
201101,42,"AP3.3"
201101,19,"AP4"
201101,17,"AP5.1"
201101,36,"AP5.2"
201101,18,"AP5.3"
201102,31,"AP1"
201102,33,"AP2.1"
201102,15,"AP2.2"
201102,15,"AP3.1"
201102,17,"AP3.2"
201102,36,"AP3.3"
201102,23,"AP4"
201102,14,"AP5.1"
201102,48,"AP5.2"
201102,37,"AP5.3"
201103,22,"AP1"
201103,28,"AP2.1"
201103,12,"AP2.2"
201103,16,"AP3.1"
201103,11,"AP3.2"
201103,46,"AP3.3"
201103,33,"AP4"
201103,28,"AP5.1"
201103,36,"AP5.2"
201103,37,"AP5.3"
201104,47,"AP1"
201104,49,"AP2.1"
201104,26,"AP2.2"
201104,20,"AP3.1"
201104,35,"AP3.2"
201104,78,"AP3.3"
201104,59,"AP4"
201104,40,"AP5.1"
201104,65,"AP5.2"
201104,42,"AP5.3"
201105,74,"AP1"
201105,84,"AP2.1"
201105,36,"AP2.2"
201105,38,"AP3.1"
201105,46,"AP3.2"
201105,134,"AP3.3"
201105,80,"AP4"
201105,72,"AP5.1"
201105,106,"AP5.2"
201105,70,"AP5.3"
201106,87,"AP1"
201106,98,"AP2.1"
201106,55,"AP2.2"
201106,39,"AP3.1"
201106,55,"AP3.2"
201106,212,"AP3.3"
201106,132,"AP4"
201106,151,"AP5.1"
201106,171,"AP5.2"
201106,112,"AP5.3"
201107,123,"AP1"
201107,189,"AP2.1"
201107,62,"AP2.2"
201107,73,"AP3.1"
201107,79,"AP3.2"
201107,258,"AP3.3"
201107,189,"AP4"
201107,193,"AP5.1"
201107,130,"AP5.2"
201107,136,"AP5.3"
201108,137,"AP1"
201108,180,"AP2.1"
201108,69,"AP2.2"
201108,122,"AP3.1"
201108,83,"AP3.2"
201108,220,"AP3.3"
201108,174,"AP4"
201108,288,"AP5.1"
201108,151,"AP5.2"
201108,97,"AP5.3"
201109,126,"AP1"
201109,232,"AP2.1"
201109,58,"AP2.2"
201109,79,"AP3.1"
201109,57,"AP3.2"
201109,190,"AP3.3"
201109,207,"AP4"
201109,231,"AP5.1"
201109,130,"AP5.2"
201109,83,"AP5.3"
201110,120,"AP1"
201110,288,"AP2.1"
201110,51,"AP2.2"
201110,75,"AP3.1"
201110,56,"AP3.2"
201110,247,"AP3.3"
201110,232,"AP4"
201110,226,"AP5.1"
201110,141,"AP5.2"
201110,73,"AP5.3"
201111,168,"AP1"
201111,440,"AP2.1"
201111,90,"AP2.2"
201111,143,"AP3.1"
201111,90,"AP3.2"
201111,313,"AP3.3"
201111,338,"AP4"
201111,396,"AP5.1"
201111,355,"AP5.2"
