,UF,Município,"Cód IBGE","Cód Região de Saúde","Nome da Região de Saúde"
1,AC,Acrelândia,120001,12002,"Baixo Acre e Purus"
2,AC,"Assis Brasil",120005,12001,"Alto Acre"
3,AC,Brasiléia,120010,12001,"Alto Acre"
4,AC,Bujari,120013,12002,"Baixo Acre e Purus"
5,AC,Capixaba,120017,12002,"Baixo Acre e Purus"
6,AC,"Cruzeiro do Sul",120020,12003,"Juruá e Tarauacá/Envira"
7,AC,Epitaciolândia,120025,12001,"Alto Acre"
8,AC,Feijó,120030,12003,"Juruá e Tarauacá/Envira"
9,AC,Jordão,120032,12002,"Baixo Acre e Purus"
10,AC,"Mâncio Lima",120033,12003,"Juruá e Tarauacá/Envira"
11,AC,"Manoel Urbano",120034,12002,"Baixo Acre e Purus"
12,AC,"Marechal Thaumaturgo",120035,12003,"Juruá e Tarauacá/Envira"
13,AC,"Plácido de Castro",120038,12002,"Baixo Acre e Purus"
14,AC,"Porto Acre",120080,12002,"Baixo Acre e Purus"
15,AC,"Porto Walter",120039,12003,"Juruá e Tarauacá/Envira"
16,AC,"Rio Branco",120040,12002,"Baixo Acre e Purus"
17,AC,"Rodrigues Alves",120042,12003,"Juruá e Tarauacá/Envira"
18,AC,"Santa Rosa do Purus",120043,12002,"Baixo Acre e Purus"
19,AC,"Senador Guiomard",120045,12002,"Baixo Acre e Purus"
20,AC,"Sena Madureira",120050,12002,"Baixo Acre e Purus"
21,AC,Tarauacá,120060,12003,"Juruá e Tarauacá/Envira"
22,AC,Xapuri,120070,12001,"Alto Acre"
23,AL,"Água Branca",270010,27010,"10ª Região de Saúde"
24,AL,Anadia,270020,27005,"5ª Região de Saúde"
25,AL,Arapiraca,270030,27007,"7ª Região de Saúde"
26,AL,Atalaia,270040,27004,"4ª Região de Saúde"
27,AL,"Barra de Santo Antônio",270050,27001,"1ª Região de Saúde"
28,AL,"Barra de São Miguel",270060,27001,"1ª Região de Saúde"
29,AL,Batalha,270070,27007,"7ª Região de Saúde"
30,AL,Belém,270080,27008,"8ª Região de Saúde"
31,AL,"Belo Monte",270090,27007,"7ª Região de Saúde"
32,AL,"Boca da Mata",270100,27005,"5ª Região de Saúde"
33,AL,Branquinha,270110,27003,"3ª Região de Saúde"
34,AL,Cacimbinhas,270120,27008,"8ª Região de Saúde"
35,AL,Cajueiro,270130,27004,"4ª Região de Saúde"
36,AL,Campestre,270135,27003,"3ª Região de Saúde"
37,AL,"Campo Alegre",270140,27005,"5ª Região de Saúde"
38,AL,"Campo Grande",270150,27007,"7ª Região de Saúde"
39,AL,Canapi,270160,27009,"9ª Região de Saúde"
40,AL,Capela,270170,27004,"4ª Região de Saúde"
41,AL,Carneiros,270180,27009,"9ª Região de Saúde"
42,AL,"Chã Preta",270190,27004,"4ª Região de Saúde"
43,AL,"Coité do Nóia",270200,27007,"7ª Região de Saúde"
44,AL,"Colônia Leopoldina",270210,27003,"3ª Região de Saúde"
45,AL,"Coqueiro Seco",270220,27001,"1ª Região de Saúde"
46,AL,Coruripe,270230,27006,"6ª Região de Saúde"
47,AL,Craíbas,270235,27007,"7ª Região de Saúde"
48,AL,"Delmiro Gouveia",270240,27010,"10ª Região de Saúde"
49,AL,"Dois Riachos",270250,27009,"9ª Região de Saúde"
50,AL,"Estrela de Alagoas",270255,27008,"8ª Região de Saúde"
51,AL,"Feira Grande",270260,27007,"7ª Região de Saúde"
52,AL,"Feliz Deserto",270270,27006,"6ª Região de Saúde"
53,AL,Flexeiras,270280,27001,"1ª Região de Saúde"
54,AL,"Girau do Ponciano",270290,27007,"7ª Região de Saúde"
55,AL,Ibateguara,270300,27003,"3ª Região de Saúde"
56,AL,Igaci,270310,27008,"8ª Região de Saúde"
57,AL,"Igreja Nova",270320,27006,"6ª Região de Saúde"
58,AL,Inhapi,270330,27010,"10ª Região de Saúde"
59,AL,"Jacaré dos Homens",270340,27007,"7ª Região de Saúde"
60,AL,Jacuípe,270350,27002,"2ª Região de Saúde"
61,AL,Japaratinga,270360,27002,"2ª Região de Saúde"
62,AL,Jaramataia,270370,27007,"7ª Região de Saúde"
63,AL,"Jequiá da Praia",270375,27006,"6ª Região de Saúde"
64,AL,"Joaquim Gomes",270380,27003,"3ª Região de Saúde"
65,AL,Jundiá,270390,27003,"3ª Região de Saúde"
66,AL,Junqueiro,270400,27005,"5ª Região de Saúde"
67,AL,"Lagoa da Canoa",270410,27007,"7ª Região de Saúde"
68,AL,"Limoeiro de Anadia",270420,27007,"7ª Região de Saúde"
69,AL,Maceió,270430,27001,"1ª Região de Saúde"
70,AL,"Major Isidoro",270440,27007,"7ª Região de Saúde"
71,AL,Maragogi,270450,27002,"2ª Região de Saúde"
72,AL,Maravilha,270460,27009,"9ª Região de Saúde"
73,AL,"Marechal Deodoro",270470,27001,"1ª Região de Saúde"
74,AL,Maribondo,270480,27008,"8ª Região de Saúde"
75,AL,"Mar Vermelho",270490,27004,"4ª Região de Saúde"
76,AL,"Mata Grande",270500,27010,"10ª Região de Saúde"
77,AL,"Matriz de Camaragibe",270510,27002,"2ª Região de Saúde"
78,AL,Messias,270520,27001,"1ª Região de Saúde"
79,AL,"Minador do Negrão",270530,27008,"8ª Região de Saúde"
80,AL,Monteirópolis,270540,27009,"9ª Região de Saúde"
81,AL,Murici,270550,27003,"3ª Região de Saúde"
82,AL,"Novo Lino",270560,27003,"3ª Região de Saúde"
83,AL,"Olho d'Água das Flores",270570,27009,"9ª Região de Saúde"
84,AL,"Olho d'Água do Casado",270580,27010,"10ª Região de Saúde"
85,AL,"Olho d'Água Grande",270590,27007,"7ª Região de Saúde"
86,AL,Olivença,270600,27009,"9ª Região de Saúde"
87,AL,"Ouro Branco",270610,27009,"9ª Região de Saúde"
88,AL,Palestina,270620,27009,"9ª Região de Saúde"
89,AL,"Palmeira dos Índios",270630,27008,"8ª Região de Saúde"
90,AL,"Pão de Açúcar",270640,27009,"9ª Região de Saúde"
91,AL,Pariconha,270642,27010,"10ª Região de Saúde"
92,AL,Paripueira,270644,27001,"1ª Região de Saúde"
93,AL,"Passo de Camaragibe",270650,27002,"2ª Região de Saúde"
94,AL,"Paulo Jacinto",270660,27004,"4ª Região de Saúde"
95,AL,Penedo,270670,27006,"6ª Região de Saúde"
96,AL,Piaçabuçu,270680,27006,"6ª Região de Saúde"
97,AL,Pilar,270690,27001,"1ª Região de Saúde"
98,AL,Pindoba,270700,27004,"4ª Região de Saúde"
99,AL,Piranhas,270710,27010,"10ª Região de Saúde"
100,AL,"Poço das Trincheiras",270720,27009,"9ª Região de Saúde"
101,AL,"Porto Calvo",270730,27002,"2ª Região de Saúde"
102,AL,"Porto de Pedras",270740,27002,"2ª Região de Saúde"
103,AL,"Porto Real do Colégio",270750,27006,"6ª Região de Saúde"
104,AL,Quebrangulo,270760,27004,"4ª Região de Saúde"
105,AL,"Rio Largo",270770,27001,"1ª Região de Saúde"
106,AL,Roteiro,270780,27005,"5ª Região de Saúde"
107,AL,"Santa Luzia do Norte",270790,27001,"1ª Região de Saúde"
108,AL,"Santana do Ipanema",270800,27009,"9ª Região de Saúde"
109,AL,"Santana do Mundaú",270810,27003,"3ª Região de Saúde"
110,AL,"São Brás",270820,27006,"6ª Região de Saúde"
111,AL,"São José da Laje",270830,27003,"3ª Região de Saúde"
112,AL,"São José da Tapera",270840,27009,"9ª Região de Saúde"
113,AL,"São Luís do Quitunde",270850,27002,"2ª Região de Saúde"
114,AL,"São Miguel dos Campos",270860,27005,"5ª Região de Saúde"
115,AL,"São Miguel dos Milagres",270870,27002,"2ª Região de Saúde"
116,AL,"São Sebastião",270880,27007,"7ª Região de Saúde"
117,AL,Satuba,270890,27001,"1ª Região de Saúde"
118,AL,"Senador Rui Palmeira",270895,27009,"9ª Região de Saúde"
119,AL,"Tanque d'Arca",270900,27008,"8ª Região de Saúde"
120,AL,Taquarana,270910,27007,"7ª Região de Saúde"
121,AL,"Teotônio Vilela",270915,27005,"5ª Região de Saúde"
122,AL,Traipu,270920,27007,"7ª Região de Saúde"
123,AL,"União dos Palmares",270930,27003,"3ª Região de Saúde"
124,AL,Viçosa,270940,27004,"4ª Região de Saúde"
125,AM,Alvarães,130002,13008,Triângulo
126,AM,Amaturá,130006,13009,"Alto Solimões"
127,AM,Anamã,130008,13002,"Rio Negro e Solimões"
128,AM,Anori,130010,13002,"Rio Negro e Solimões"
129,AM,Apuí,130014,13003,"Rio Madeira"
130,AM,"Atalaia do Norte",130020,13009,"Alto Solimões"
131,AM,Autazes,130030,13001,"Manaus, Entorno e Alto Rio Negro"
132,AM,Barcelos,130040,13001,"Manaus, Entorno e Alto Rio Negro"
133,AM,Barreirinha,130050,13005,"Baixo Amazonas"
134,AM,"Benjamin Constant",130060,13009,"Alto Solimões"
135,AM,Beruri,130063,13002,"Rio Negro e Solimões"
136,AM,"Boa Vista do Ramos",130068,13005,"Baixo Amazonas"
137,AM,"Boca do Acre",130070,13006,"Regional Purus"
138,AM,Borba,130080,13003,"Rio Madeira"
139,AM,Caapiranga,130083,13002,"Rio Negro e Solimões"
140,AM,Canutama,130090,13006,"Regional Purus"
141,AM,Carauari,130100,13007,"Regional Juruá"
142,AM,Careiro,130110,13001,"Manaus, Entorno e Alto Rio Negro"
143,AM,"Careiro da Várzea",130115,13001,"Manaus, Entorno e Alto Rio Negro"
144,AM,Coari,130120,13002,"Rio Negro e Solimões"
145,AM,Codajás,130130,13002,"Rio Negro e Solimões"
146,AM,Eirunepé,130140,13007,"Regional Juruá"
147,AM,Envira,130150,13007,"Regional Juruá"
148,AM,"Fonte Boa",130160,13009,"Alto Solimões"
149,AM,Guajará,130165,13007,"Regional Juruá"
150,AM,Humaitá,130170,13003,"Rio Madeira"
151,AM,Ipixuna,130180,13007,"Regional Juruá"
152,AM,Iranduba,130185,13001,"Manaus, Entorno e Alto Rio Negro"
153,AM,Itacoatiara,130190,13004,"Médio Amazonas"
154,AM,Itamarati,130195,13007,"Regional Juruá"
155,AM,Itapiranga,130200,13004,"Médio Amazonas"
156,AM,Japurá,130210,13008,Triângulo
157,AM,Juruá,130220,13008,Triângulo
158,AM,Jutaí,130230,13009,"Alto Solimões"
159,AM,Lábrea,130240,13006,"Regional Purus"
160,AM,Manacapuru,130250,13002,"Rio Negro e Solimões"
161,AM,Manaquiri,130255,13001,"Manaus, Entorno e Alto Rio Negro"
162,AM,Manaus,130260,13001,"Manaus, Entorno e Alto Rio Negro"
163,AM,Manicoré,130270,13003,"Rio Madeira"
164,AM,Maraã,130280,13008,Triângulo
165,AM,Maués,130290,13005,"Baixo Amazonas"
166,AM,Nhamundá,130300,13005,"Baixo Amazonas"
167,AM,"Nova Olinda do Norte",130310,13001,"Manaus, Entorno e Alto Rio Negro"
168,AM,"Novo Airão",130320,13002,"Rio Negro e Solimões"
169,AM,"Novo Aripuanã",130330,13003,"Rio Madeira"
170,AM,Parintins,130340,13005,"Baixo Amazonas"
171,AM,Pauini,130350,13006,"Regional Purus"
172,AM,"Presidente Figueiredo",130353,13001,"Manaus, Entorno e Alto Rio Negro"
173,AM,"Rio Preto da Eva",130356,13001,"Manaus, Entorno e Alto Rio Negro"
174,AM,"Santa Isabel do Rio Negro",130360,13001,"Manaus, Entorno e Alto Rio Negro"
175,AM,"Santo Antônio do Içá",130370,13009,"Alto Solimões"
176,AM,"São Gabriel da Cachoeira",130380,13001,"Manaus, Entorno e Alto Rio Negro"
177,AM,"São Paulo de Olivença",130390,13009,"Alto Solimões"
178,AM,"São Sebastião do Uatumã",130395,13004,"Médio Amazonas"
179,AM,Silves,130400,13004,"Médio Amazonas"
180,AM,Tabatinga,130406,13009,"Alto Solimões"
181,AM,Tapauá,130410,13006,"Regional Purus"
182,AM,Tefé,130420,13008,Triângulo
183,AM,Tonantins,130423,13009,"Alto Solimões"
184,AM,Uarini,130426,13008,Triângulo
185,AM,Urucará,130430,13004,"Médio Amazonas"
186,AM,Urucurituba,130440,13004,"Médio Amazonas"
187,AP,Amapá,160010,16002,"Área Norte"
188,AP,Calçoene,160020,16002,"Área Norte"
189,AP,Cutias,160021,16001,"Área Central"
190,AP,"Ferreira Gomes",160023,16001,"Área Central"
191,AP,Itaubal,160025,16001,"Área Central"
192,AP,"Laranjal do Jari",160027,16003,"Área Sudoeste"
193,AP,Macapá,160030,16001,"Área Central"
194,AP,Mazagão,160040,16003,"Área Sudoeste"
195,AP,Oiapoque,160050,16002,"Área Norte"
196,AP,"Pedra Branca do Amapari",160015,16001,"Área Central"
197,AP,"Porto Grande",160053,16001,"Área Central"
198,AP,Pracuúba,160055,16002,"Área Norte"
199,AP,Santana,160060,16003,"Área Sudoeste"
200,AP,"Serra do Navio",160005,16001,"Área Central"
201,AP,Tartarugalzinho,160070,16002,"Área Norte"
202,AP,"Vitória do Jari",160080,16003,"Área Sudoeste"
203,BA,Abaíra,290010,29023,Seabra
204,BA,Abaré,290020,29017,"Paulo Afonso"
205,BA,Acajutiba,290030,29001,Alagoinhas
206,BA,Adustina,290035,29019,"Ribeira do Pombal"
207,BA,"Água Fria",290040,29025,Serrinha
208,BA,Aiquara,290060,29015,Jequié
209,BA,Alagoinhas,290070,29001,Alagoinhas
210,BA,Alcobaça,290080,29026,"Teixeira de Freitas"
211,BA,Almadina,290090,29012,Itabuna
212,BA,Amargosa,290100,29022,"Santo Antônio de Jesus"
213,BA,"Amélia Rodrigues",290110,29006,"Feira de Santana"
214,BA,"América Dourada",290115,29010,Irecê
215,BA,Anagé,290120,29028,"Vitória da Conquista"
216,BA,Andaraí,290130,29011,Itaberaba
217,BA,Andorinha,290135,29024,"Senhor do Bonfim"
218,BA,Angical,290140,29002,Barreiras
219,BA,Anguera,290150,29006,"Feira de Santana"
220,BA,Antas,290160,29019,"Ribeira do Pombal"
221,BA,"Antônio Cardoso",290170,29006,"Feira de Santana"
222,BA,"Antônio Gonçalves",290180,29024,"Senhor do Bonfim"
223,BA,Aporá,290190,29001,Alagoinhas
224,BA,Apuarema,290195,29015,Jequié
225,BA,Araças,290205,29001,Alagoinhas
226,BA,Aracatu,290200,29003,Brumado
227,BA,Araci,290210,29025,Serrinha
228,BA,Aramari,290220,29001,Alagoinhas
229,BA,Arataca,290225,29009,Ilhéus
230,BA,Aratuípe,290230,29022,"Santo Antônio de Jesus"
231,BA,"Aurelino Leal",290240,29012,Itabuna
232,BA,Baianópolis,290250,29002,Barreiras
233,BA,"Baixa Grande",290260,29006,"Feira de Santana"
234,BA,Banzaê,290265,29019,"Ribeira do Pombal"
235,BA,Barra,290270,29008,Ibotirama
236,BA,"Barra da Estiva",290280,29003,Brumado
237,BA,"Barra do Choça",290290,29028,"Vitória da Conquista"
238,BA,"Barra do Mendes",290300,29010,Irecê
239,BA,"Barra do Rocha",290310,29015,Jequié
240,BA,Barreiras,290320,29002,Barreiras
241,BA,"Barro Alto",290323,29010,Irecê
242,BA,Barrocas,290327,29025,Serrinha
243,BA,"Barro Preto",290330,29012,Itabuna
244,BA,Belmonte,290340,29018,"Porto Seguro"
245,BA,"Belo Campo",290350,29028,"Vitória da Conquista"
246,BA,Biritinga,290360,29025,Serrinha
247,BA,"Boa Nova",290370,29015,Jequié
248,BA,"Boa Vista do Tupim",290380,29011,Itaberaba
249,BA,"Bom Jesus da Lapa",290390,29021,"Santa Maria da Vitória"
250,BA,"Bom Jesus da Serra",290395,29028,"Vitória da Conquista"
251,BA,Boninal,290400,29023,Seabra
252,BA,Bonito,290405,29011,Itaberaba
253,BA,Boquira,290410,29003,Brumado
254,BA,Botuporã,290420,29003,Brumado
255,BA,Brejões,290430,29015,Jequié
256,BA,Brejolândia,290440,29002,Barreiras
257,BA,"Brotas de Macaúbas",290450,29008,Ibotirama
258,BA,Brumado,290460,29003,Brumado
259,BA,Buerarema,290470,29012,Itabuna
260,BA,Buritirama,290475,29008,Ibotirama
261,BA,Caatiba,290480,29013,Itapetinga
262,BA,"Cabaceiras do Paraguaçu",290485,29005,"Cruz das Almas"
263,BA,Cachoeira,290490,29005,"Cruz das Almas"
264,BA,Caculé,290500,29007,Guanambi
265,BA,Caém,290510,29014,Jacobina
266,BA,Caetanos,290515,29028,"Vitória da Conquista"
267,BA,Caetité,290520,29007,Guanambi
268,BA,Cafarnaum,290530,29010,Irecê
269,BA,Cairu,290540,29027,Valença
270,BA,"Caldeirão Grande",290550,29014,Jacobina
271,BA,Camacan,290560,29012,Itabuna
272,BA,Camaçari,290570,29004,Camaçari
273,BA,Camamu,290580,29027,Valença
274,BA,"Campo Alegre de Lourdes",290590,29016,Juazeiro
275,BA,"Campo Formoso",290600,29024,"Senhor do Bonfim"
276,BA,Canápolis,290610,29021,"Santa Maria da Vitória"
277,BA,Canarana,290620,29010,Irecê
278,BA,Canavieiras,290630,29009,Ilhéus
279,BA,Candeal,290640,29006,"Feira de Santana"
280,BA,Candeias,290650,29020,Salvador
281,BA,Candiba,290660,29007,Guanambi
282,BA,"Cândido Sales",290670,29028,"Vitória da Conquista"
283,BA,Cansanção,290680,29025,Serrinha
284,BA,Canudos,290682,29016,Juazeiro
285,BA,"Capela do Alto Alegre",290685,29006,"Feira de Santana"
286,BA,"Capim Grosso",290687,29014,Jacobina
287,BA,Caraíbas,290689,29028,"Vitória da Conquista"
288,BA,Caravelas,290690,29026,"Teixeira de Freitas"
289,BA,"Cardeal da Silva",290700,29001,Alagoinhas
290,BA,Carinhanha,290710,29007,Guanambi
291,BA,"Casa Nova",290720,29016,Juazeiro
292,BA,"Castro Alves",290730,29022,"Santo Antônio de Jesus"
293,BA,Catolândia,290740,29002,Barreiras
294,BA,Catu,290750,29001,Alagoinhas
295,BA,Caturama,290755,29003,Brumado
296,BA,Central,290760,29010,Irecê
297,BA,Chorrochó,290770,29017,"Paulo Afonso"
298,BA,"Cícero Dantas",290780,29019,"Ribeira do Pombal"
299,BA,Cipó,290790,29019,"Ribeira do Pombal"
300,BA,Coaraci,290800,29012,Itabuna
301,BA,Cocos,290810,29021,"Santa Maria da Vitória"
302,BA,"Conceição da Feira",290820,29005,"Cruz das Almas"
303,BA,"Conceição do Almeida",290830,29022,"Santo Antônio de Jesus"
304,BA,"Conceição do Coité",290840,29025,Serrinha
305,BA,"Conceição do Jacuípe",290850,29006,"Feira de Santana"
306,BA,Conde,290860,29004,Camaçari
307,BA,Condeúba,290870,29028,"Vitória da Conquista"
308,BA,"Contendas do Sincorá",290880,29003,Brumado
309,BA,"Coração de Maria",290890,29006,"Feira de Santana"
310,BA,Cordeiros,290900,29028,"Vitória da Conquista"
311,BA,Coribe,290910,29021,"Santa Maria da Vitória"
312,BA,"Coronel João Sá",290920,29019,"Ribeira do Pombal"
313,BA,Correntina,290930,29021,"Santa Maria da Vitória"
314,BA,Cotegipe,290940,29002,Barreiras
315,BA,Cravolândia,290950,29015,Jequié
316,BA,Crisópolis,290960,29001,Alagoinhas
317,BA,Cristópolis,290970,29002,Barreiras
318,BA,"Cruz das Almas",290980,29005,"Cruz das Almas"
319,BA,Curaçá,290990,29016,Juazeiro
320,BA,"Dário Meira",291000,29015,Jequié
321,BA,"Dias d'Ávila",291005,29004,Camaçari
322,BA,"Dom Basílio",291010,29003,Brumado
323,BA,"Dom Macedo Costa",291020,29022,"Santo Antônio de Jesus"
324,BA,"Elísio Medrado",291030,29022,"Santo Antônio de Jesus"
325,BA,Encruzilhada,291040,29028,"Vitória da Conquista"
326,BA,"Entre Rios",291050,29001,Alagoinhas
327,BA,"Érico Cardoso",290050,29003,Brumado
328,BA,Esplanada,291060,29001,Alagoinhas
329,BA,"Euclides da Cunha",291070,29025,Serrinha
330,BA,Eunápolis,291072,29018,"Porto Seguro"
331,BA,Fátima,291075,29019,"Ribeira do Pombal"
332,BA,"Feira da Mata",291077,29007,Guanambi
333,BA,"Feira de Santana",291080,29006,"Feira de Santana"
334,BA,Filadélfia,291085,29024,"Senhor do Bonfim"
335,BA,"Firmino Alves",291090,29013,Itapetinga
336,BA,"Floresta Azul",291100,29012,Itabuna
337,BA,"Formosa do Rio Preto",291110,29002,Barreiras
338,BA,Gandu,291120,29027,Valença
339,BA,Gavião,291125,29006,"Feira de Santana"
340,BA,"Gentio do Ouro",291130,29010,Irecê
341,BA,Glória,291140,29017,"Paulo Afonso"
342,BA,Gongogi,291150,29012,Itabuna
343,BA,"Governador Mangabeira",291160,29005,"Cruz das Almas"
344,BA,Guajeru,291165,29003,Brumado
345,BA,Guanambi,291170,29007,Guanambi
346,BA,Guaratinga,291180,29018,"Porto Seguro"
347,BA,Heliópolis,291185,29019,"Ribeira do Pombal"
348,BA,Iaçu,291190,29011,Itaberaba
349,BA,Ibiassucê,291200,29007,Guanambi
350,BA,Ibicaraí,291210,29012,Itabuna
351,BA,Ibicoara,291220,29003,Brumado
352,BA,Ibicuí,291230,29013,Itapetinga
353,BA,Ibipeba,291240,29010,Irecê
354,BA,Ibipitanga,291250,29003,Brumado
355,BA,Ibiquera,291260,29011,Itaberaba
356,BA,Ibirapitanga,291270,29012,Itabuna
357,BA,Ibirapuã,291280,29026,"Teixeira de Freitas"
358,BA,Ibirataia,291290,29015,Jequié
359,BA,Ibitiara,291300,29023,Seabra
360,BA,Ibititá,291310,29010,Irecê
361,BA,Ibotirama,291320,29008,Ibotirama
362,BA,Ichu,291330,29006,"Feira de Santana"
363,BA,Igaporã,291340,29007,Guanambi
364,BA,Igrapiúna,291345,29027,Valença
365,BA,Iguaí,291350,29013,Itapetinga
366,BA,Ilhéus,291360,29009,Ilhéus
367,BA,Inhambupe,291370,29001,Alagoinhas
368,BA,Ipecaetá,291380,29006,"Feira de Santana"
369,BA,Ipiaú,291390,29015,Jequié
370,BA,Ipirá,291400,29006,"Feira de Santana"
371,BA,Ipupiara,291410,29008,Ibotirama
372,BA,Irajuba,291420,29015,Jequié
373,BA,Iramaia,291430,29015,Jequié
374,BA,Iraquara,291440,29023,Seabra
375,BA,Irará,291450,29006,"Feira de Santana"
376,BA,Irecê,291460,29010,Irecê
377,BA,Itabela,291465,29018,"Porto Seguro"
378,BA,Itaberaba,291470,29011,Itaberaba
379,BA,Itabuna,291480,29012,Itabuna
380,BA,Itacaré,291490,29009,Ilhéus
381,BA,Itaeté,291500,29011,Itaberaba
382,BA,Itagi,291510,29015,Jequié
383,BA,Itagibá,291520,29015,Jequié
384,BA,Itagimirim,291530,29018,"Porto Seguro"
385,BA,"Itaguaçu da Bahia",291535,29010,Irecê
386,BA,"Itaju do Colônia",291540,29012,Itabuna
387,BA,Itajuípe,291550,29012,Itabuna
388,BA,Itamaraju,291560,29026,"Teixeira de Freitas"
389,BA,Itamari,291570,29015,Jequié
390,BA,Itambé,291580,29013,Itapetinga
391,BA,Itanagra,291590,29001,Alagoinhas
392,BA,Itanhém,291600,29026,"Teixeira de Freitas"
393,BA,Itaparica,291610,29020,Salvador
394,BA,Itapé,291620,29012,Itabuna
395,BA,Itapebi,291630,29018,"Porto Seguro"
396,BA,Itapetinga,291640,29013,Itapetinga
397,BA,Itapicuru,291650,29001,Alagoinhas
398,BA,Itapitanga,291660,29012,Itabuna
399,BA,Itaquara,291670,29015,Jequié
400,BA,Itarantim,291680,29013,Itapetinga
401,BA,Itatim,291685,29022,"Santo Antônio de Jesus"
402,BA,Itiruçu,291690,29015,Jequié
403,BA,Itiúba,291700,29024,"Senhor do Bonfim"
404,BA,Itororó,291710,29013,Itapetinga
405,BA,Ituaçu,291720,29003,Brumado
406,BA,Ituberá,291730,29027,Valença
407,BA,Iuiú,291733,29007,Guanambi
408,BA,Jaborandi,291735,29021,"Santa Maria da Vitória"
409,BA,Jacaraci,291740,29007,Guanambi
410,BA,Jacobina,291750,29014,Jacobina
411,BA,Jaguaquara,291760,29015,Jequié
412,BA,Jaguarari,291770,29024,"Senhor do Bonfim"
413,BA,Jaguaripe,291780,29022,"Santo Antônio de Jesus"
414,BA,Jandaíra,291790,29001,Alagoinhas
415,BA,Jequié,291800,29015,Jequié
416,BA,Jeremoabo,291810,29017,"Paulo Afonso"
417,BA,Jiquiriçá,291820,29022,"Santo Antônio de Jesus"
418,BA,Jitaúna,291830,29015,Jequié
419,BA,"João Dourado",291835,29010,Irecê
420,BA,Juazeiro,291840,29016,Juazeiro
421,BA,Jucuruçu,291845,29026,"Teixeira de Freitas"
422,BA,Jussara,291850,29010,Irecê
423,BA,Jussari,291855,29012,Itabuna
424,BA,Jussiape,291860,29003,Brumado
425,BA,"Lafaiete Coutinho",291870,29015,Jequié
426,BA,"Lagoa Real",291875,29007,Guanambi
427,BA,Laje,291880,29022,"Santo Antônio de Jesus"
428,BA,Lajedão,291890,29026,"Teixeira de Freitas"
429,BA,Lajedinho,291900,29011,Itaberaba
430,BA,"Lajedo do Tabocal",291905,29015,Jequié
431,BA,Lamarão,291910,29025,Serrinha
432,BA,Lapão,291915,29010,Irecê
433,BA,"Lauro de Freitas",291920,29020,Salvador
434,BA,Lençóis,291930,29023,Seabra
435,BA,"Licínio de Almeida",291940,29007,Guanambi
436,BA,"Livramento de Nossa Senhora",291950,29003,Brumado
437,BA,"Luís Eduardo Magalhães",291955,29002,Barreiras
438,BA,Macajuba,291960,29011,Itaberaba
439,BA,Macarani,291970,29013,Itapetinga
440,BA,Macaúbas,291980,29003,Brumado
441,BA,Macururé,291990,29017,"Paulo Afonso"
442,BA,"Madre de Deus",291992,29020,Salvador
443,BA,Maetinga,291995,29028,"Vitória da Conquista"
444,BA,Maiquinique,292000,29013,Itapetinga
445,BA,Mairi,292010,29014,Jacobina
446,BA,Malhada,292020,29007,Guanambi
447,BA,"Malhada de Pedras",292030,29003,Brumado
448,BA,"Manoel Vitorino",292040,29015,Jequié
449,BA,Mansidão,292045,29002,Barreiras
450,BA,Maracás,292050,29015,Jequié
451,BA,Maragogipe,292060,29005,"Cruz das Almas"
452,BA,Maraú,292070,29012,Itabuna
453,BA,"Marcionílio Souza",292080,29011,Itaberaba
454,BA,Mascote,292090,29009,Ilhéus
455,BA,"Mata de São João",292100,29004,Camaçari
456,BA,Matina,292105,29007,Guanambi
457,BA,"Medeiros Neto",292110,29026,"Teixeira de Freitas"
458,BA,"Miguel Calmon",292120,29014,Jacobina
459,BA,Milagres,292130,29022,"Santo Antônio de Jesus"
460,BA,Mirangaba,292140,29014,Jacobina
461,BA,Mirante,292145,29028,"Vitória da Conquista"
462,BA,"Monte Santo",292150,29025,Serrinha
463,BA,Morpará,292160,29008,Ibotirama
464,BA,"Morro do Chapéu",292170,29014,Jacobina
465,BA,Mortugaba,292180,29007,Guanambi
466,BA,Mucugê,292190,29023,Seabra
467,BA,Mucuri,292200,29026,"Teixeira de Freitas"
468,BA,"Mulungu do Morro",292205,29010,Irecê
469,BA,"Mundo Novo",292210,29006,"Feira de Santana"
470,BA,"Muniz Ferreira",292220,29022,"Santo Antônio de Jesus"
471,BA,"Muquém de São Francisco",292225,29008,Ibotirama
472,BA,Muritiba,292230,29005,"Cruz das Almas"
473,BA,Mutuípe,292240,29022,"Santo Antônio de Jesus"
474,BA,Nazaré,292250,29022,"Santo Antônio de Jesus"
475,BA,"Nilo Peçanha",292260,29027,Valença
476,BA,Nordestina,292265,29025,Serrinha
477,BA,"Nova Canaã",292270,29013,Itapetinga
478,BA,"Nova Fátima",292273,29006,"Feira de Santana"
479,BA,"Nova Ibiá",292275,29027,Valença
480,BA,"Nova Itarana",292280,29015,Jequié
481,BA,"Nova Redenção",292285,29011,Itaberaba
482,BA,"Nova Soure",292290,29019,"Ribeira do Pombal"
483,BA,"Nova Viçosa",292300,29026,"Teixeira de Freitas"
484,BA,"Novo Horizonte",292303,29023,Seabra
485,BA,"Novo Triunfo",292305,29019,"Ribeira do Pombal"
486,BA,Olindina,292310,29019,"Ribeira do Pombal"
487,BA,"Oliveira dos Brejinhos",292320,29008,Ibotirama
488,BA,Ouriçangas,292330,29001,Alagoinhas
