,UF,Município,"Cód IBGE","Cód Região de Saúde","Nome da Região de Saúde"
3551,PR,"São Pedro do Iguaçu",412575,41020,"20ª RS Toledo"
3552,PR,"São Pedro do Ivaí",412580,41016,"16ª RS Apucarana"
3553,PR,"São Pedro do Paraná",412590,41014,"14ª RS Paranavaí"
3554,PR,"São Sebastião da Amoreira",412600,41018,"18ª RS Cornélio Procópio"
3555,PR,"São Tomé",412610,41013,"13ª RS Cianorte"
3556,PR,Sapopema,412620,41018,"18ª RS Cornélio Procópio"
3557,PR,Sarandi,412625,41015,"15ª RS Maringá"
3558,PR,"Saudade do Iguaçu",412627,41007,"7ª RS Pato Branco"
3559,PR,Sengés,412630,41003,"3ª RS Ponta Grossa"
3560,PR,"Serranópolis do Iguaçu",412635,41009,"9ª RS Foz do Iguaçu"
3561,PR,Sertaneja,412640,41018,"18ª RS Cornélio Procópio"
3562,PR,Sertanópolis,412650,41017,"17ª RS Londrina"
3563,PR,"Siqueira Campos",412660,41019,"19ª RS Jacarezinho"
3564,PR,Sulina,412665,41007,"7ª RS Pato Branco"
3565,PR,Tamarana,412667,41017,"17ª RS Londrina"
3566,PR,Tamboara,412670,41014,"14ª RS Paranavaí"
3567,PR,Tapejara,412680,41013,"13ª RS Cianorte"
3568,PR,Tapira,412690,41012,"12ª RS Umuarama"
3569,PR,"Teixeira Soares",412700,41004,"4ª RS Irati"
3570,PR,"Telêmaco Borba",412710,41021,"21ª RS Telêmaco Borba"
3571,PR,"Terra Boa",412720,41011,"11ª RS Campo Mourão"
3572,PR,"Terra Rica",412730,41014,"14ª RS Paranavaí"
3573,PR,"Terra Roxa",412740,41020,"20ª RS Toledo"
3574,PR,Tibagi,412750,41021,"21ª RS Telêmaco Borba"
3575,PR,"Tijucas do Sul",412760,41002,"2ª RS Metropolitana"
3576,PR,Toledo,412770,41020,"20ª RS Toledo"
3577,PR,Tomazina,412780,41019,"19ª RS Jacarezinho"
3578,PR,"Três Barras do Paraná",412785,41010,"10ª RS Cascavel"
3579,PR,"Tunas do Paraná",412788,41002,"2ª RS Metropolitana"
3580,PR,"Tuneiras do Oeste",412790,41013,"13ª RS Cianorte"
3581,PR,Tupãssi,412795,41020,"20ª RS Toledo"
3582,PR,Turvo,412796,41005,"5ª RS Guarapuava"
3583,PR,Ubiratã,412800,41011,"11ª RS Campo Mourão"
3584,PR,Umuarama,412810,41012,"12ª RS Umuarama"
3585,PR,"União da Vitória",412820,41006,"6ª RS União da Vitória"
3586,PR,Uniflor,412830,41015,"15ª RS Maringá"
3587,PR,Uraí,412840,41018,"18ª RS Cornélio Procópio"
3588,PR,Ventania,412853,41021,"21ª RS Telêmaco Borba"
3589,PR,"Vera Cruz do Oeste",412855,41010,"10ª RS Cascavel"
3590,PR,Verê,412860,41008,"8ª RS Francisco Beltrão"
3591,PR,Virmond,412865,41005,"5ª RS Guarapuava"
3592,PR,Vitorino,412870,41007,"7ª RS Pato Branco"
3593,PR,"Wenceslau Braz",412850,41019,"19ª RS Jacarezinho"
3594,PR,Xambrê,412880,41012,"12ª RS Umuarama"
3595,RJ,"Angra dos Reis",330010,33001,"Baia da Ilha Grande"
3596,RJ,Aperibé,330015,33007,Noroeste
3597,RJ,Araruama,330020,33002,"Baixada Litorânea"
3598,RJ,Areal,330022,33003,Centro-Sul
3599,RJ,"Armação dos Búzios",330023,33002,"Baixada Litorânea"
